Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0017046,0.029082,0.12548,0,0,0,27.456,0.22819,5.6372E-08,3.7274E-09,0.229,-0.0021359,0.16473,0,0,0,0,0,0,package://centaur_four/meshes/base_link.STL,0.27843,1,0.3451,1,0,0,0,0,0,0,package://centaur_four/meshes/base_link.STL,,电池-1;电池-2;上位机背板-1;左yz连接平台-1;y轴齿轮箱-1;右yz连接平台-1;机电外壳-3;273752_RE35_GB_90W_KL_2WE-7;273752_RE35_GB_90W_KL_2WE-8;传感器组-1;右xz轴齿轮箱-1;左xz轴齿轮箱-1;273752_RE35_GB_90W_KL_2WE-5;273752_RE35_GB_90W_KL_2WE-1;273752_RE35_GB_90W_KL_2WE-3;机电外壳-1;273752_RE35_GB_90W_KL_2WE-6;273752_RE35_GB_90W_KL_2WE-4;273752_RE35_GB_90W_KL_2WE-9;273752_RE35_GB_90W_KL_2WE-2;机电外壳-2;273752_RE35_GB_90W_KL_2WE-10;y轴齿轮箱-2;机电外壳-6;机电外壳-4;273752_RE35_GB_90W_KL_2WE-16;273752_RE35_GB_90W_KL_2WE-13;273752_RE35_GB_90W_KL_2WE-11;273752_RE35_GB_90W_KL_2WE-15;273752_RE35_GB_90W_KL_2WE-19;273752_RE35_GB_90W_KL_2WE-14;273752_RE35_GB_90W_KL_2WE-20;273752_RE35_GB_90W_KL_2WE-12;左xz轴齿轮箱-2;机电外壳-5;右yz连接平台-2;右xz轴齿轮箱-2;左yz连接平台-2,base_c,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
flthigh,-0.09741,-0.077414,-0.042922,0,0,0,1.3138,0.019717,-0.020562,-0.00087075,0.029249,-0.00069201,0.047578,0,0,0,0,0,0,package://centaur_four/meshes/flthigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://centaur_four/meshes/flthigh.STL,,左大腿件-1;皮带大轮-2;皮带-2,flhip_c,flhip_l,flhip,revolute,-0.34,0.365,0.095,1.5708,0,-1.5708,base_link,0,0,1,0,0,-1,1,,,,,,,,
flcalf,0.0856748977674965,-0.0988671674346421,-0.0350000101728815,0,0,0,0.429886668197142,0.00478485923069523,0.00390830299130692,-2.43975343066143E-10,0.00366155714108663,3.14868518025185E-10,0.00801567655447648,0,0,0,0,0,0,package://centaur_four/meshes/flcalf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://centaur_four/meshes/flcalf.STL,,小腿杆-1;皮带小轮-2,flknee_c,flknee_l,flknee,revolute,-0.43841,-0.34842,0,0,0,0,flthigh,0,0,-1,0,0,-1,1,,,,,,,,
flfoot,-0.00758813125579372,-0.0481075861136613,-0.00999999791203407,0,0,0,0.139615807494904,5.57828756338741E-05,-6.66013242017278E-06,-1.77238916409655E-12,0.000308022632584879,-1.47072673249997E-12,0.000308371589635916,0,0,0,0,0,0,package://centaur_four/meshes/flfoot.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://centaur_four/meshes/flfoot.STL,,足部-2,flankle_c,flankle_l,flankle,revolute,0.36674,-0.42321,-0.025,0,0,0,flcalf,0,0,1,0,0,-1,1,,,,,,,,
frthigh,0.0974100678060597,-0.0774142608606015,-0.0429224437988074,0,0,0,1.31379565424727,0.0197171346906241,0.0205621488366879,0.000870751431311199,0.0292491446072501,-0.000692008331032773,0.0475775788276024,0,0,0,0,0,0,package://centaur_four/meshes/frthigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://centaur_four/meshes/frthigh.STL,,右大腿件-1;皮带-1;皮带大轮-1,frhip_c,frhip_l,frhip,revolute,0.34,0.365,0.095,1.5708,0,1.5708,base_link,0,0,1,0,0,-1,1,,,,,,,,
frcalf,-0.0856748965460823,-0.098867168493073,-0.0350000101776244,0,0,0,0.429886668197151,0.0047848591591618,-0.0039083030015947,2.77021150115979E-10,0.00366155721260208,2.86525263372565E-10,0.00801567655445849,0,0,0,0,0,0,package://centaur_four/meshes/frcalf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://centaur_four/meshes/frcalf.STL,,小腿杆-2;皮带小轮-1,frknee_c,frknee_l,frknee,revolute,0.43841,-0.34842,0,0,0,0,frthigh,0,0,-1,0,0,-1,1,,,,,,,,
frfoot,0.00758813125577018,-0.0481075861142882,-0.010000002087726,0,0,0,0.139615807494904,5.57828756338739E-05,6.66013242017266E-06,-1.77238078197302E-12,0.000308022632584879,1.47072620998503E-12,0.000308371589635916,0,0,0,0,0,0,package://centaur_four/meshes/frfoot.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://centaur_four/meshes/frfoot.STL,,足部-1,frankle_c,frankle_l,frankle,revolute,-0.36674,-0.42321,-0.025,0,0,0,frcalf,0,0,1,0,0,-1,1,,,,,,,,
blthigh,0.0999995303683583,-0.0740390641437255,-0.0429224437988163,0,0,0,1.31379565424727,0.0183232669031058,0.0201884307413908,0.000893898712491211,0.0306430123947685,-0.000661837349471757,0.0475775788276025,0,0,0,0,0,0,package://centaur_four/meshes/blthigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://centaur_four/meshes/blthigh.STL,,右大腿件-2;皮带大轮-3;皮带-3,blhip_c,blhip_l,blhip,revolute,-0.34,-0.36,0.095,1.5708,0,-1.5708,base_link,0,0,1,0,0,-1,1,,,,,,,,
blcalf,-0.0813995190225856,-0.102415932850592,-0.0350000101824431,0,0,0,0.429886670931372,0.00511444381700063,-0.00384655472298357,2.64650955770175E-10,0.0033319725628376,2.97920838170793E-10,0.00801567655878932,0,0,0,0,0,0,package://centaur_four/meshes/blcalf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://centaur_four/meshes/blcalf.STL,,皮带小轮-3;小腿杆-4,blknee_c,blknee_l,blknee,revolute,0.45007,-0.33323,0,0,0,0,blthigh,0,0,1,0,0,-1,1,,,,,,,,
blfoot,0.00758813129501545,-0.0481075861144431,-0.0100000020888962,0,0,0,0.139615807494904,5.57828756338743E-05,6.66013242017282E-06,-1.77203146540466E-12,0.00030802263258488,1.47071733572551E-12,0.000308371589635917,0,0,0,0,0,0,package://centaur_four/meshes/blfoot.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://centaur_four/meshes/blfoot.STL,,足部-3,blankle_c,blankle_l,blankle,revolute,-0.34844,-0.4384,-0.025,0,0,0,blcalf,0,0,1,0,0,-1,1,,,,,,,,
brthigh,-0.1,-0.074039,-0.042922,0,0,0,1.3138,0.018323,-0.020188,-0.0008939,0.030643,-0.00066184,0.047578,0,0,0,0,0,0,package://centaur_four/meshes/brthigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://centaur_four/meshes/brthigh.STL,,左大腿件-2;皮带大轮-4;皮带-4,brhip_c,brhip_l,brhip,revolute,0.34,-0.36,0.095,1.5708,0,1.5708,base_link,0,0,1,0,0,-1,1,,,,,,,,
brcalf,0.0814,-0.10242,-0.035,0,0,0,0.42989,0.0051144,0.0038466,2.6465E-10,0.003332,-2.9792E-10,0.0080157,0,0,0,0,0,0,package://centaur_four/meshes/brcalf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://centaur_four/meshes/brcalf.STL,,皮带小轮-4;小腿杆-3,brknee_c,brknee_l,brknee,revolute,-0.45007,-0.33323,0,0,0,0,brthigh,0,0,-1,0,0,-1,1,,,,,,,,
brfoot,-0.0075881,-0.048108,-0.01,0,0,0,0.13962,5.5783E-05,-6.6601E-06,-1.772E-12,0.00030802,-1.4707E-12,0.00030837,0,0,0,0,0,0,package://centaur_four/meshes/brfoot.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://centaur_four/meshes/brfoot.STL,,足部-4,brankle_c,brankle_l,brankle,revolute,0.34844,-0.4384,-0.025,0,0,0,brcalf,0,0,-1,0,0,-1,1,,,,,,,,
